6.1	22.4	14.9	15.5	0	68	68
12.5	18.7	16.1	16.9	0	70	70
13.7	18.1	16.4	16.7	0	76	77
14.3	20	16.8	16.8	0	78	79
11.6	20.9	17	17.2	0	74	77
9.2	18	14.4	14.8	0	79	76
5.6	14	8	8.2	0	62	58
-1.1	15.2	7.9	9	0	62	65
-0.2	18.3	10.1	10.6	0	59	60
1.8	19.7	11.5	12.1	0	58	56
5.2	21.3	13.3	13.1	0	60	61
2.1	22	13.9	15.2	0	58	58
6.8	22.8	16.1	17.5	0	48	39
6.7	20.1	14.2	14.4	0	59	54
5.2	20.1	13.7	14.5	0	64	65
7.3	21	15	15.9	0	66	67
4.8	22.6	15.5	16.7	0	55	50
5	24.7	16	17.6	0	55	48
6.6	27.6	18.1	18.9	0	56	52
10.2	30.7	21.9	22.4	0	58	56
15.7	22.2	19.8	19.5	0	57	60
15	22.4	18.8	19	0	64	68
14	18.5	16.2	16.1	0	45	45
5.2	22.1	15	15.8	0	55	50
5.2	25.9	17.1	18	0	49	46
4.9	25.8	16.7	16.9	0	51	44
4.8	28.5	18.6	19.5	0	50	49
8.8	31	21.8	23.5	0	48	40
9.6	31.5	22.1	23.3	0	52	46
12.9	33.2	24.3	25.9	0	59	52
14.6	28.2	22.7	23.9	0	47	34
14.8	23.4	18.6	18	0	35	33
6	23.1	15.8	17.1	0	48	46
6.7	25.1	16.8	17.9	0	51	48
9.9	20.7	16	16.1	0	52	48
7.3	22.5	16.8	17.6	0	49	44
5	25.4	17.1	18.4	0	51	45
8.1	28.2	19.7	22.1	0	49	42
8.6	30.1	21	22.2	0	51	46
10.2	31	22.3	23.4	0	54	50
13.8	33.4	25.2	26.4	0	53	46
14.1	34.8	26	26.4	0	52	48
13.8	37	27.9	31.9	0	47	40
13.1	37	27.3	29.1	0	48	43
16.1	35.5	27.4	28.6	0	50	45
17.5	36.5	28.3	29.1	0	49	44
19	33	27.4	28.5	0	45	36
17.5	27.3	23.3	24.2	0	58	55
18.1	26.6	23	23.2	0	59	56
18.9	22.9	20.6	20.5	0	65	67
17.2	27	21.5	20.8	0	65	67
12.6	32.6	24.3	26.2	0	60	54
15	40	27.8	27.7	0	46	40
14.4	22.6	15.7	15.7	0	35	34
11	17.6	14.6	14.5	0	43	38
10.4	20.8	16.1	17	0	38	32
11	23	17.9	18.9	0	39	29
7	25.4	18.3	20	0	38	34
7.5	29.2	20.4	22.4	0	43	37
8.6	32.4	22.8	24.8	0	44	38
14.4	33.5	25.4	25.9	0	48	44
17.2	34.8	27.2	28.5	0	47	45
18.4	26.5	21.1	21	0	60	59
16.8	29.5	23.5	23.3	0	50	51
14.9	27	21.8	22.8	0	50	48
17.6	30.6	25.1	26.5	0	38	33
11.1	33	24.7	27.1	0	40	34
12.6	31.6	23.4	23.1	0	42	33
14.5	23.4	18.8	19.4	0	42	41
11.8	25.2	18.7	18.8	0	36	36
8	28.9	20.7	22.7	0	44	40
12.5	33.4	25.2	27.4	0	42	38
16.8	28.8	23.3	23.6	0	45	46
12.8	16.8	13.3	13.2	0	50	50
10.6	18.5	15.5	16.3	0	50	45
10.6	19.1	15.4	15.5	0	43	36
5.6	24.2	17.6	20	0	42	40
8.4	28.9	21.5	24.5	0	40	35
10.5	33.2	24.3	26.5	0	45	38
